subject_id,component,condition,latency_frac_area_ms,mean_amplitude_roi,n_epochs,baseline_noise_uv,snr,peak_latency_ms,window_start_ms,window_end_ms,fwhm_ms
02,P1,1 to 3,84.97769845791693,1.1480390835778937,8,1.2133799002560468,0.9461497452987602,80.0,57.62818441966789,110.10230887403927,52.47412445437138
02,N1,1 to 3,174.0862906158357,-3.634301195834767,8,1.3880602169246432,2.61825902905484,164.0,136.32972598154484,210.53281544497224,74.2030894634274
02,P3b,1 to 3,465.1093274364155,2.24941746547337,8,0.9669607094380743,2.3262759732818554,512.0,311.8355045937762,547.9667435103072,236.131238916531
08,P1,1 to 4,92.34312768587994,0.9493496512984004,8,0.9369136665849706,1.0132733518113348,80.0,57.62818441966789,110.10230887403927,52.47412445437138
08,N1,1 to 4,192.63777746375754,-1.3334467791620084,8,0.8868438003571094,1.5035869660757208,164.0,136.32972598154484,210.53281544497224,74.2030894634274
08,P3b,1 to 4,355.2354127790834,0.7616094250370722,8,0.8118710388655822,0.9380916285685718,512.0,311.8355045937762,547.9667435103072,236.131238916531
10,P1,1 to 4,nan,-1.0051233852503318,8,1.2165221418350751,0.8262269552563535,80.0,57.62818441966789,110.10230887403927,52.47412445437138
10,N1,1 to 4,173.0604820479963,-4.735862667748263,8,1.4278866866781634,3.3166936227732307,164.0,136.32972598154484,210.53281544497224,74.2030894634274
10,P3b,1 to 4,nan,-2.087267053405506,8,1.4791244541345856,1.411150392092419,512.0,311.8355045937762,547.9667435103072,236.131238916531
13,P1,1 to 3,nan,-0.3045843445634874,8,1.0710988323635182,0.28436623713927744,80.0,57.62818441966789,110.10230887403927,52.47412445437138
13,N1,1 to 3,198.67375136453774,-1.6729386263273769,8,0.8239882138599394,2.0302943636663975,164.0,136.32972598154484,210.53281544497224,74.2030894634274
13,P3b,1 to 3,459.1960242410597,3.0848729152546337,8,0.7634129572724526,4.040896720270993,512.0,311.8355045937762,547.9667435103072,236.131238916531
15,P1,1 to 3,nan,-0.6382916877090532,8,0.725003867830684,0.8803976310070094,80.0,57.62818441966789,110.10230887403927,52.47412445437138
15,N1,1 to 3,169.71364037029466,-4.07198957474043,8,0.4479586156600499,9.090102148700742,164.0,136.32972598154484,210.53281544497224,74.2030894634274
15,P3b,1 to 3,466.68696644310154,1.251603515573644,8,0.2449496425743881,5.109636015057863,512.0,311.8355045937762,547.9667435103072,236.131238916531
23,P1,1 to 4,91.5935766703344,2.0345475026049025,8,1.003036349617835,2.0283886056373546,80.0,57.62818441966789,110.10230887403927,52.47412445437138
23,N1,1 to 4,174.6232405833118,-10.138767544698206,8,0.8802024508719407,11.51867679379284,164.0,136.32972598154484,210.53281544497224,74.2030894634274
23,P3b,1 to 4,nan,-3.019559472754972,8,0.7894040155979638,3.8251128865460524,512.0,311.8355045937762,547.9667435103072,236.131238916531
25,P1,1 to 2,nan,-1.0554000903325864,8,0.7807673834817745,1.3517471562734955,80.0,57.62818441966789,110.10230887403927,52.47412445437138
25,N1,1 to 2,153.9427202303424,-3.933852537378767,8,0.7267561718994888,5.412891819132461,164.0,136.32972598154484,210.53281544497224,74.2030894634274
25,P3b,1 to 2,388.2811471976857,2.219245475984204,8,0.457940944670897,4.846139009428569,512.0,311.8355045937762,547.9667435103072,236.131238916531
26,P1,1 to 2,100.2495103591264,0.3153024782492533,8,1.0375106822096518,0.30390287411569944,80.0,57.62818441966789,110.10230887403927,52.47412445437138
26,N1,1 to 2,169.6737812113964,-3.662335971487987,8,0.7201305890102456,5.085655334432518,164.0,136.32972598154484,210.53281544497224,74.2030894634274
26,P3b,1 to 2,nan,-4.179634246948085,8,0.7146345198466808,5.84863189626607,512.0,311.8355045937762,547.9667435103072,236.131238916531
27,P1,1 to 3,95.91174888651024,0.6529322041117802,9,0.9522719133370475,0.6856573159064506,80.0,57.62818441966789,110.10230887403927,52.47412445437138
27,N1,1 to 3,169.40584642760544,-2.1147154256407146,9,0.7489030787956666,2.823750476552255,164.0,136.32972598154484,210.53281544497224,74.2030894634274
27,P3b,1 to 3,438.3283743991351,4.9610668565913025,9,1.1543886382106014,4.297570759429311,512.0,311.8355045937762,547.9667435103072,236.131238916531
27,P1,1 to 4,70.97534137545316,0.5643954611389183,8,1.8047261599012974,0.3127319111780292,80.0,57.62818441966789,110.10230887403927,52.47412445437138
27,N1,1 to 4,175.3151626380074,-2.0075109008407788,8,1.3403650058991694,1.49773449172829,164.0,136.32972598154484,210.53281544497224,74.2030894634274
27,P3b,1 to 4,453.68700277790333,6.227512380912383,8,0.9701095021978136,6.419391178834718,512.0,311.8355045937762,547.9667435103072,236.131238916531
31,P1,1 to 4,78.50599383263369,1.5419290837959172,8,2.09839366850465,0.7348140184271149,80.0,57.62818441966789,110.10230887403927,52.47412445437138
31,N1,1 to 4,176.06640691494286,-5.195493417630016,8,1.9292303337995547,2.6930394606628774,164.0,136.32972598154484,210.53281544497224,74.2030894634274
31,P3b,1 to 4,451.75690095035765,4.321076635500233,8,0.8180351030467594,5.282263095320052,512.0,311.8355045937762,547.9667435103072,236.131238916531
32,P1,1 to 4,nan,-1.2024935224683069,8,1.0393617056633762,1.1569538457267015,80.0,57.62818441966789,110.10230887403927,52.47412445437138
32,N1,1 to 4,172.04092257684778,-4.314757659328691,8,0.7486343729768864,5.763504609294645,164.0,136.32972598154484,210.53281544497224,74.2030894634274
32,P3b,1 to 4,399.89744567218406,1.8315954232829277,8,0.23602065233297378,7.7603184517045785,512.0,311.8355045937762,547.9667435103072,236.131238916531
