analysis_id,component,condition,n_subjects,collapsed_peak_latency_ms,window_start_ms,window_end_ms,fwhm_ms,mean_amplitude_roi,peak_amplitude_roi,latency_frac_area_ms,latency_peak_ms,roi_channels
increase_by_123_without_1,P1,Increase by 1 (no 1),24,100.0,78.74837756629762,110.27512268346678,31.526745117169156,0.33425877515823343,0.5608998413507787,98.08235952631152,100.0,E71;E75;E76;E70;E83;E74;E81;E82
increase_by_123_without_1,P1,Increase by 2 (no 1),24,100.0,78.74837756629762,110.27512268346678,31.526745117169156,0.4417347624865204,0.5599748493995342,95.18083356749563,100.0,E71;E75;E76;E70;E83;E74;E81;E82
increase_by_123_without_1,P1,Increase by 3 (no 1),24,100.0,78.74837756629762,110.27512268346678,31.526745117169156,0.2649721438459498,0.38672492648578877,93.52135468128115,96.0,E71;E75;E76;E70;E83;E74;E81;E82
increase_by_123_without_1,N1,Increase by 1 (no 1),24,168.0,133.8307026718789,209.2512382930908,75.42053562121191,-3.2177884090900193,-3.8903825811310115,170.49123175924674,168.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
increase_by_123_without_1,N1,Increase by 2 (no 1),24,168.0,133.8307026718789,209.2512382930908,75.42053562121191,-3.3174044108111964,-3.983106025244547,170.5620048163038,164.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
increase_by_123_without_1,N1,Increase by 3 (no 1),24,168.0,133.8307026718789,209.2512382930908,75.42053562121191,-3.982162145847258,-4.71601943123835,171.89510343854872,172.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
increase_by_123_without_1,P3b,Increase by 1 (no 1),24,476.0,407.58210725303906,533.4462426846846,125.8641354316456,1.1959784067937353,1.3937980858952437,474.6277849979207,480.0,E54;E61;E78;E79;E62;E72;E55;E77;E67
increase_by_123_without_1,P3b,Increase by 2 (no 1),24,476.0,407.58210725303906,533.4462426846846,125.8641354316456,2.2135181719913426,2.634533649250777,473.770150676229,468.0,E54;E61;E78;E79;E62;E72;E55;E77;E67
increase_by_123_without_1,P3b,Increase by 3 (no 1),24,476.0,407.58210725303906,533.4462426846846,125.8641354316456,2.312175900399825,2.7520034363921853,466.08868687838157,476.0,E54;E61;E78;E79;E62;E72;E55;E77;E67
increase_by_123_without_1,Fz,Increase by 1 (no 1),24,100.0,85.47861225043096,111.69252449218664,26.21391224175568,-0.6137017561463507,-0.7488575641242575,98.5958354512184,100.0,E11;E4;E5;E12;E19;E18;E16;E10
increase_by_123_without_1,Fz,Increase by 2 (no 1),24,100.0,85.47861225043096,111.69252449218664,26.21391224175568,-0.6920630506243869,-0.8771390604662076,99.47606117358075,104.0,E11;E4;E5;E12;E19;E18;E16;E10
increase_by_123_without_1,Fz,Increase by 3 (no 1),24,100.0,85.47861225043096,111.69252449218664,26.21391224175568,-0.384612972350369,-0.5110775421573692,97.92053076123139,100.0,E11;E4;E5;E12;E19;E18;E16;E10
