subject_id,condition,p1_peak_uv,p1_latency_ms,n1_peak_uv,n1_latency_ms,p2p_amplitude_uv,n_epochs,window_p1_start_ms,window_p1_end_ms,window_n1_start_ms,window_n1_end_ms
02,Increasing 1 to 3,3.3300150492303255,108.0,-4.694283481470476,168.0,8.024298530700802,8,89.56133181449343,124.69669505024913,143.17902704961824,221.03589847332705
02,Decreasing 3 to 1,6.620286189065318,124.0,-1.3197413173918102,172.0,7.940027506457128,7,89.56133181449343,124.69669505024913,143.17902704961824,221.03589847332705
03,Increasing 1 to 3,8.487985715608536,100.0,-7.192838849928362,148.0,15.680824565536899,6,89.56133181449343,124.69669505024913,143.17902704961824,221.03589847332705
03,Decreasing 3 to 1,4.376637261799274,124.0,-6.59894364926248,184.0,10.975580911061755,5,89.56133181449343,124.69669505024913,143.17902704961824,221.03589847332705
04,Increasing 1 to 3,2.5616775460614942,100.0,-2.3728292993752764,220.0,4.93450684543677,6,89.56133181449343,124.69669505024913,143.17902704961824,221.03589847332705
04,Decreasing 3 to 1,1.151860221526783,124.0,-1.7134679052432518,192.0,2.865328126770035,8,89.56133181449343,124.69669505024913,143.17902704961824,221.03589847332705
05,Increasing 1 to 3,3.1546297019722904,108.0,-6.817224333180696,172.0,9.971854035152987,5,89.56133181449343,124.69669505024913,143.17902704961824,221.03589847332705
05,Decreasing 3 to 1,2.639028572319306,124.0,-1.904682039056717,176.0,4.543710611376023,6,89.56133181449343,124.69669505024913,143.17902704961824,221.03589847332705
08,Increasing 1 to 3,0.6203098190692252,124.0,-3.094680186826039,188.0,3.714990005895264,3,89.56133181449343,124.69669505024913,143.17902704961824,221.03589847332705
08,Decreasing 3 to 1,3.415285969700597,124.0,-3.4964104813955017,204.0,6.911696451096098,6,89.56133181449343,124.69669505024913,143.17902704961824,221.03589847332705
09,Increasing 1 to 3,4.517929818401357,92.0,-3.0446521316639488,144.0,7.562581950065306,3,89.56133181449343,124.69669505024913,143.17902704961824,221.03589847332705
09,Decreasing 3 to 1,6.927016784539899,96.0,-5.94233482362222,168.0,12.86935160816212,3,89.56133181449343,124.69669505024913,143.17902704961824,221.03589847332705
10,Increasing 1 to 3,-0.985936942543494,92.0,-6.292297146933191,204.0,5.306360204389698,6,89.56133181449343,124.69669505024913,143.17902704961824,221.03589847332705
10,Decreasing 3 to 1,0.7374902264233177,92.0,-8.027864758158112,216.0,8.76535498458143,5,89.56133181449343,124.69669505024913,143.17902704961824,221.03589847332705
11,Increasing 1 to 3,0.7822427431001047,116.0,-11.070119117085971,200.0,11.852361860186075,6,89.56133181449343,124.69669505024913,143.17902704961824,221.03589847332705
11,Decreasing 3 to 1,1.941152670654054,108.0,-10.405896236580075,200.0,12.347048907234129,4,89.56133181449343,124.69669505024913,143.17902704961824,221.03589847332705
12,Increasing 1 to 3,4.613508999046033,112.0,-5.345180898011474,200.0,9.958689897057507,4,89.56133181449343,124.69669505024913,143.17902704961824,221.03589847332705
12,Decreasing 3 to 1,3.587716977021699,120.0,-6.360454973994877,184.0,9.948171951016576,6,89.56133181449343,124.69669505024913,143.17902704961824,221.03589847332705
13,Increasing 1 to 3,0.7670171178524874,124.0,-5.600735658042059,208.0,6.367752775894546,7,89.56133181449343,124.69669505024913,143.17902704961824,221.03589847332705
13,Decreasing 3 to 1,2.52388337475401,124.0,-4.1355359393871245,212.0,6.659419314141134,5,89.56133181449343,124.69669505024913,143.17902704961824,221.03589847332705
