analysis_id,component,condition,n_subjects,peak_latency_ms,window_start_ms,window_end_ms,fwhm_ms,mean_amplitude_roi,latency_frac_area_ms,roi_channels
increase_by_1,P1,1 to 2,24,96.0,72.0796267014166,119.04571838090635,46.96609167948975,0.29809289796873606,89.62991720285899,E71;E75;E76;E70;E83;E74;E81;E82
increase_by_1,P1,2 to 3,24,96.0,72.0796267014166,119.04571838090635,46.96609167948975,0.9018367562471344,97.99825007285752,E71;E75;E76;E70;E83;E74;E81;E82
increase_by_1,P1,3 to 4,24,96.0,72.0796267014166,119.04571838090635,46.96609167948975,0.8129095874663199,103.0979022714025,E71;E75;E76;E70;E83;E74;E81;E82
increase_by_1,P1,4 to 5,24,96.0,72.0796267014166,119.04571838090635,46.96609167948975,0.5724091159562268,94.1545916154073,E71;E75;E76;E70;E83;E74;E81;E82
increase_by_1,P1,5 to 6,24,96.0,72.0796267014166,119.04571838090635,46.96609167948975,0.549561194704946,93.65368797909176,E71;E75;E76;E70;E83;E74;E81;E82
increase_by_1,N1,1 to 2,24,168.0,135.11546508962311,205.83698595948323,70.72152086986011,-2.759834180609887,168.69459976308548,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
increase_by_1,N1,2 to 3,24,168.0,135.11546508962311,205.83698595948323,70.72152086986011,-2.6572005020826874,170.54287604641874,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
increase_by_1,N1,3 to 4,24,168.0,135.11546508962311,205.83698595948323,70.72152086986011,-2.541350887914823,168.0565988826205,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
increase_by_1,N1,4 to 5,24,168.0,135.11546508962311,205.83698595948323,70.72152086986011,-3.1510710980387118,169.22531378702328,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
increase_by_1,N1,5 to 6,24,168.0,135.11546508962311,205.83698595948323,70.72152086986011,-3.3130488343164233,170.08593696163246,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
increase_by_1,P3b,1 to 2,24,460.0,442.7391370405363,475.45424788001617,32.71511083947985,2.0403784911856646,457.9439100498291,E54;E55;E61;E78;E79;E62;E72;E55;E77;E67
increase_by_1,P3b,2 to 3,24,460.0,442.7391370405363,475.45424788001617,32.71511083947985,1.7890223188131982,457.77441557137337,E54;E55;E61;E78;E79;E62;E72;E55;E77;E67
increase_by_1,P3b,3 to 4,24,460.0,442.7391370405363,475.45424788001617,32.71511083947985,1.3101740532884487,459.25295438118656,E54;E55;E61;E78;E79;E62;E72;E55;E77;E67
increase_by_1,P3b,4 to 5,24,460.0,442.7391370405363,475.45424788001617,32.71511083947985,0.6561075522545028,456.0817474116524,E54;E55;E61;E78;E79;E62;E72;E55;E77;E67
increase_by_1,P3b,5 to 6,24,460.0,442.7391370405363,475.45424788001617,32.71511083947985,-0.19159030700484844,460.0,E54;E55;E61;E78;E79;E62;E72;E55;E77;E67
