condition,count,mean,std,min,25%,50%,75%,max,sem
3 to 6,23.0,167.82608695652175,19.46477511700896,136.0,148.0,168.0,182.0,208.0,4.0586861782758525
4 to 6,22.0,168.0,21.129983210504225,136.0,152.0,164.0,188.0,200.0,4.5049275570615235
5 to 6,12.0,169.66666666666666,24.566545372012556,136.0,151.0,170.0,193.0,200.0,7.091750791795302
6 to 6,22.0,173.0909090909091,15.377500852464047,144.0,165.0,172.0,180.0,204.0,3.2784941975043447
