subject_id,condition,p1_amp,p1_lat_ms,n_epochs,n1_amp,n1_lat_ms,p2p_amp
02,Change by 1,3.636186913494716,116.0,68,-3.093317374756204,168.0,6.72950428825092
02,Change by 2,3.721677719448474,116.0,57,-3.4988338079540346,164.0,7.2205115274025085
02,Change by 3,4.2275240989960166,116.0,43,-3.4405442335607277,164.0,7.668068332556745
03,Change by 1,5.5058241646479225,100.0,69,-5.983374635158709,152.0,11.489198799806632
03,Change by 2,5.003662477363283,104.0,48,-7.521512800901208,152.0,12.525175278264491
03,Change by 3,7.308237694477982,104.0,39,-6.9273310050545716,156.0,14.235568699532553
04,Change by 1,0.2945653772637185,108.0,75,-1.0854222602237318,200.0,1.3799876374874502
04,Change by 2,1.3595172021959712,116.0,58,-1.0036510126136895,184.0,2.3631682148096607
04,Change by 3,0.7016018171534487,96.0,38,-2.0924673088040318,200.0,2.7940691259574804
05,Change by 1,0.5308778526028682,112.0,58,-6.708484072224812,172.0,7.239361924827681
05,Change by 2,1.0184679802696521,108.0,56,-6.611917299949476,172.0,7.630385280219128
05,Change by 3,1.3295972024295557,108.0,31,-6.474270319390584,172.0,7.803867521820139
08,Change by 1,1.4748223877776425,100.0,61,-1.9920784580654138,208.0,3.4669008458430564
08,Change by 2,0.8140407052453945,116.0,51,-4.223216994107664,192.0,5.0372576993530584
08,Change by 3,0.4690650898030673,116.0,36,-4.284355708178044,192.0,4.753420797981112
09,Change by 1,2.9770842968948985,108.0,56,-5.636345759989687,168.0,8.613430056884585
09,Change by 2,2.99913708012409,104.0,45,-5.996935572941524,172.0,8.996072653065614
09,Change by 3,3.5166211419751097,100.0,37,-6.212002023917609,164.0,9.728623165892719
10,Change by 1,0.3750524030309853,108.0,67,-4.865330536472588,172.0,5.240382939503574
10,Change by 2,0.6004783739012474,108.0,51,-5.067150462126581,164.0,5.667628836027829
10,Change by 3,0.7477191218800104,104.0,40,-6.2497893351992,164.0,6.99750845707921
11,Change by 1,-0.1818296168292859,104.0,59,-7.64984199207153,200.0,7.468012375242244
11,Change by 2,1.1084695601381478,100.0,44,-6.93264950590445,200.0,8.041119066042597
11,Change by 3,0.40668889478760145,100.0,36,-6.205538630879093,196.0,6.612227525666694
12,Change by 1,1.097704573408675,116.0,60,-5.090397814493242,188.0,6.1881023879019175
12,Change by 2,2.4239401871854303,116.0,48,-4.50562123042619,188.0,6.92956141761162
12,Change by 3,2.387001195482107,116.0,31,-4.899558153664915,188.0,7.286559349147023
13,Change by 1,3.595505157326723,116.0,70,-3.744993434359638,208.0,7.3404985916863605
13,Change by 2,2.3796461857005005,116.0,48,-3.522908180190351,204.0,5.902554365890851
13,Change by 3,3.4010925884904046,116.0,39,-4.371058365868194,208.0,7.772150954358599
14,Change by 1,0.2632799555829478,116.0,68,-4.396325290803966,176.0,4.6596052463869135
14,Change by 2,0.3187298335030807,116.0,50,-4.2650855912724825,168.0,4.583815424775564
14,Change by 3,-0.5732519770094903,92.0,38,-3.0825777758948814,172.0,2.509325798885391
15,Change by 1,0.6862251745900977,108.0,58,-4.252754699148317,180.0,4.938979873738415
15,Change by 2,0.8384364613852896,108.0,53,-3.2495811302463076,180.0,4.088017591631597
15,Change by 3,0.28683783609452074,92.0,38,-4.563799920215972,188.0,4.850637756310493
17,Change by 1,4.757017874611163,116.0,56,-4.098926215224808,168.0,8.855944089835972
17,Change by 2,5.257186695101733,116.0,55,-5.009420403369404,172.0,10.266607098471138
17,Change by 3,4.562933354607565,112.0,35,-4.9440371538067875,172.0,9.506970508414351
21,Change by 1,2.6472340430142607,96.0,58,-7.622912966611139,176.0,10.2701470096254
21,Change by 2,1.2926456950652314,104.0,47,-7.658031161178533,192.0,8.950676856243764
21,Change by 3,1.9541906318374804,104.0,35,-9.826783848491017,180.0,11.780974480328497
22,Change by 1,0.2655453987748455,92.0,60,-4.67381468281548,144.0,4.939360081590325
22,Change by 2,-1.1341562692594878,92.0,54,-4.130984398806686,144.0,2.9968281295471986
22,Change by 3,0.5294143311513175,92.0,39,-5.394684744786379,156.0,5.924099075937697
23,Change by 1,0.800042024872608,92.0,66,-8.714370979141286,164.0,9.514413004013894
23,Change by 2,0.7485551456232189,100.0,59,-9.93558791876135,168.0,10.684143064384568
23,Change by 3,1.854411388660733,100.0,44,-9.177981623022703,180.0,11.032393011683435
25,Change by 1,1.1362436048234963,92.0,61,-8.550811436154401,144.0,9.687055040977897
25,Change by 2,1.4875037821144992,96.0,40,-8.10647583880014,144.0,9.59397962091464
25,Change by 3,0.5668963752475578,92.0,41,-9.043287569167509,148.0,9.610183944415066
26,Change by 1,1.2808519418120274,92.0,76,-4.864667182901897,176.0,6.145519124713925
26,Change by 2,2.277019670341788,96.0,42,-5.3477050759993485,176.0,7.624724746341137
26,Change by 3,0.9397338820602203,96.0,36,-6.0897292500875375,176.0,7.029463132147757
27,Change by 1,-0.5293771598858326,116.0,67,-2.2249242636842292,184.0,1.6955471037983967
27,Change by 2,0.7137331893480375,108.0,56,-2.343734545539463,160.0,3.0574677348875006
27,Change by 3,0.8265786168939443,104.0,44,-2.2982572832954102,152.0,3.1248359001893546
28,Change by 1,1.6017690505253097,116.0,57,-3.4155732852521554,180.0,5.017342335777466
28,Change by 2,2.5528101596585953,116.0,45,-3.595415229444194,176.0,6.148225389102789
28,Change by 3,1.7947313637043003,112.0,32,-4.085684002330537,168.0,5.880415366034837
29,Change by 1,0.8816068249119714,96.0,66,-4.089740314033847,184.0,4.971347138945818
29,Change by 2,1.626955191771426,92.0,58,-3.594510417560254,184.0,5.2214656093316805
29,Change by 3,1.8741748725958491,100.0,40,-4.92867962878686,152.0,6.802854501382709
31,Change by 1,1.71558050186196,92.0,65,-3.4789191162453506,204.0,5.194499618107311
31,Change by 2,1.3364201043975348,92.0,54,-5.881900219942235,196.0,7.2183203243397696
31,Change by 3,2.0717115307760205,92.0,40,-5.663763495527187,196.0,7.735475026303208
32,Change by 1,0.28929957987822413,100.0,64,-5.12987876093118,168.0,5.419178340809404
32,Change by 2,0.39740029174612435,100.0,50,-4.956363732475441,168.0,5.353764024221565
32,Change by 3,1.018316787094274,100.0,40,-4.703085835843004,168.0,5.721402622937278
33,Change by 1,2.7528132922476525,100.0,67,-4.253186777982812,160.0,7.006000070230464
33,Change by 2,2.6956693591182552,100.0,47,-4.4408866160798235,164.0,7.136555975198078
33,Change by 3,2.7362629611109606,100.0,40,-4.314266342473546,164.0,7.050529303584507
