condition,count,mean,std,min,25%,50%,75%,max,sem
2 to 1,20.0,473.6330301058867,17.847087388601768,447.39004181025285,459.8520617052366,472.9722211137597,481.95657296642884,509.6118600773237,3.990730060129277
2 to 2,13.0,457.05025040975175,26.836489931411798,395.87686675595177,448.424778291132,456.39861767521,473.852495697677,500.6812168826372,7.443103115475255
2 to 3,18.0,456.8320442072731,20.41218891908422,414.0973171061789,447.9998492232539,456.94893825222505,467.44039499189944,507.69166096969,4.811199067848452
2 to 4,19.0,469.1201623461955,26.788000295691223,410.5694775422421,450.6536547296541,471.1117612576395,482.7045828637696,516.4528960211021,6.1455887467608274
2 to 5,23.0,455.1556149385092,27.134105915790922,395.4345240700955,445.524844466256,457.8172735294536,469.1257955680305,501.1402150230624,5.657852195993752
