condition,count,mean,std,min,25%,50%,75%,max,sem
4 to 1,24.0,-3.5205580554940625,2.0225897631442646,-8.08945289848373,-4.641473010566088,-3.1694239979818004,-2.4659643611447986,0.1277618845154014,0.4128594065566778
4 to 2,24.0,-6.132731140669357,3.0491629879285096,-11.915509731889909,-8.49199465707342,-5.622532917906426,-3.731023430046592,-1.886382292235243,0.6224077885837493
4 to 3,24.0,-6.068225110769426,2.6824995390982687,-11.272543435243955,-7.220925469025331,-6.056643942195269,-4.961637733886926,1.7513004352313228,0.5475629255034844
4 to 5,24.0,-5.54882485378472,2.872514022540994,-11.054579833187626,-7.840336315216529,-5.327701367281705,-3.2899570191447243,-0.2750266872518599,0.5863494695179177
4 to 6,24.0,-5.871983804024318,3.177075620466702,-13.20148250755603,-6.4295021003685875,-5.679834520730558,-3.648953170889186,0.335058489483693,0.648517845364974
