Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher
condition,69.33333333333408,3,23.11111111111136,0.111338670638616,0.9531979296109392,0.8586466431323893,0.0017178724810043133,0.5514676576385465,False,0.25160913853969286,1.53504348314973e-05
Error,14322.666666666664,69,207.57487922705312,,,,,,,,
