Source,SS,DF,MS,F,p-unc,ng2,eps
condition,104.88087264215835,1,104.88087264215835,5.777192229776152,0.03708813250573464,0.2896154771121257,1.0
Error,181.54298571128237,10,18.154298571128237,,,,
