Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher
condition,166.93333333333362,2,83.46666666666681,0.4600448673319416,0.6347248627876259,0.5522584871159677,0.009354453078302466,0.6439909962677206,False,0.4471832590897319,0.0007151050270059867
Error,6894.4000000000015,38,181.43157894736845,,,,,,,,
