condition,count,mean,std,min,25%,50%,75%,max,sem
3a,24.0,-4.738802472314649,4.176219684863361,-13.073084004644969,-7.378324307568762,-5.6605853232849626,-1.2627210669040199,2.433493190638945,0.8524672734735
3b,24.0,-3.509145165037419,4.4212553212445584,-17.03551096649205,-5.512010713703011,-3.943674632733233,-1.0612778525890256,5.137383754973674,0.9024849633011743
3c,24.0,-2.3447793938277406,2.7206856141142515,-7.255794109607093,-4.10264164822952,-2.247966699327829,-1.0603237661201188,3.378585373832343,0.5553576254258843
3d,24.0,-2.086312157634958,2.8312265315516187,-5.968227024316241,-4.13526168370037,-2.6534574047469897,0.23632965942665474,6.476667399897149,0.5779216957109404
