condition,count,mean,std,min,25%,50%,75%,max,sem
3a,16.0,7.344937634105872,2.9669975957526713,2.3177957279101578,5.704037931417752,7.250823226391674,9.154851441546732,13.952744766896467,0.7417493989381677
3b,11.0,5.57912938002054,2.9176025868660456,2.151700611652315,3.3166204794617817,4.26307990706325,7.710351475021304,11.07060314847745,0.8796902789095428
3c,11.0,7.143967321346207,2.4444874631691844,3.909756854388195,5.459528570151258,7.07031310918797,8.7919293678949,11.926093968748134,0.7370407018236271
3d,15.0,5.996789419290851,3.557193149547012,1.830086075180827,4.320103480426889,5.585265159368703,6.513977093591952,17.07922676322103,0.9184633218292458
