analysis_id,condition,p1_amp,n1_amp,p2p_amp,p1_lat_ms,n1_lat_ms,roi_channels
increase_decrease_123_ACC1_ACC0,Cardinality (no change),1.1789103772542417,-3.669064300394209,4.847974677648451,104.0,172.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
increase_decrease_123_ACC1_ACC0,Decrease by 1 (Correct),0.9842335307677111,-3.9444508457821574,4.928684376549868,108.0,172.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
increase_decrease_123_ACC1_ACC0,Decrease by 1 (Incorrect),1.6152011454085222,-3.9841531953394016,5.599354340747924,100.0,184.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
increase_decrease_123_ACC1_ACC0,Decrease by 2 (Correct),1.4263159132834458,-4.216964479485144,5.64328039276859,112.0,176.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
increase_decrease_123_ACC1_ACC0,Decrease by 2 (Incorrect),0.9059527376223783,-2.588241912318052,3.49419464994043,116.0,180.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
increase_decrease_123_ACC1_ACC0,Decrease by 3 (Correct),1.5712707796882233,-4.2534359976931,5.824706777381324,108.0,180.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
increase_decrease_123_ACC1_ACC0,Decrease by 3 (Incorrect),1.3017424232291581,-3.4022886718943735,4.704031095123532,104.0,164.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
increase_decrease_123_ACC1_ACC0,Increase by 1 (Correct),1.2303311921434192,-3.8690285909885866,5.099359783132006,100.0,160.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
increase_decrease_123_ACC1_ACC0,Increase by 1 (Incorrect),1.4274308175816959,-4.2094419214054675,5.636872738987163,96.0,176.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
increase_decrease_123_ACC1_ACC0,Increase by 2 (Correct),1.363920895593997,-4.282906877095376,5.646827772689374,100.0,164.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
increase_decrease_123_ACC1_ACC0,Increase by 2 (Incorrect),1.0432703273428912,-4.047702708287225,5.090973035630116,100.0,176.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
increase_decrease_123_ACC1_ACC0,Increase by 3 (Correct),1.379026858298019,-4.908551783676658,6.287578641974677,100.0,172.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
increase_decrease_123_ACC1_ACC0,Increase by 3 (Incorrect),0.9917481663313843,-4.788839070770248,5.780587237101632,104.0,164.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
