condition,count,mean,std,min,25%,50%,75%,max,sem
Large Ratio 0.67 (4:6),24.0,-5.526407719768884,2.5329360577860816,-11.120988911830873,-7.280740843320214,-5.052588280153083,-3.6136925818847327,-1.935409198262424,0.5170334077227222
Small Ratio 0.67 (2:3),24.0,-4.980093524008521,2.0384777513378083,-9.84938128758897,-6.547996138011893,-4.550713769684323,-3.5073880161160926,-2.058636931970254,0.41610252856614
