analysis_id,component,condition,n_subjects,peak_latency_ms,window_start_ms,window_end_ms,fwhm_ms,mean_amplitude_roi,latency_frac_area_ms,roi_channels
cardinality_within_small,P1,Cardinality1,4,116.0,95.79311829648009,138.6331804902153,42.84006219373521,1.6724853064218075,115.1915311653804,E71;E75;E76;E70;E83;E74;E81;E82
cardinality_within_small,P1,Cardinality2,4,116.0,95.79311829648009,138.6331804902153,42.84006219373521,0.6628213368290014,127.53751525262344,E71;E75;E76;E70;E83;E74;E81;E82
cardinality_within_small,P1,Cardinality3,4,116.0,95.79311829648009,138.6331804902153,42.84006219373521,-0.5823995666040317,116.0,E71;E75;E76;E70;E83;E74;E81;E82
cardinality_within_small,N1,Cardinality1,4,172.0,145.1751074970298,200.94093322415773,55.76582572712792,-0.731752058146003,171.56835793621602,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
cardinality_within_small,N1,Cardinality2,4,172.0,145.1751074970298,200.94093322415773,55.76582572712792,-1.7180745750379207,177.15135021416964,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
cardinality_within_small,N1,Cardinality3,4,172.0,145.1751074970298,200.94093322415773,55.76582572712792,-3.4110000949604022,170.57376787404857,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
