condition,count,mean,std,min,25%,50%,75%,max,sem
1 to 2,24.0,483.1666666666667,35.62078858911106,440.0,451.0,480.0,520.0,536.0,7.271063023239635
2 to 3,24.0,472.0,33.17411248444237,440.0,444.0,460.0,483.0,536.0,6.771637354714746
3 to 4,24.0,496.1666666666667,32.99494910841153,440.0,472.0,492.0,530.0,536.0,6.735065783725586
4 to 5,24.0,494.8333333333333,32.71971439583371,440.0,471.0,500.0,524.0,536.0,6.678883733282481
5 to 6,16.0,485.25,40.46974178321379,440.0,443.0,484.0,521.0,536.0,10.117435445803453
