Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher
condition,197.83333333333405,3,65.94444444444468,1.5016225730157915,0.221832719762645,0.23446294625778263,0.01894985552132065,0.6269972828618583,False,0.3069506429715603,0.00010628379893670954
Error,3030.166666666666,69,43.91545893719806,,,,,,,,
