Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher
condition,27.218247995303667,3,9.07274933176789,7.009401711905669,0.0003494109786896771,0.00322103145545054,0.07292232264438325,0.5985848104616367,False,0.13355863583464486,2.781033998453527e-08
Error,89.31143193415096,69,1.294368578755811,,,,,,,,
