subject,direction_clean,distance,n_rt,rt_mean_ms,rt_sd_ms
23,I,2,3,554.6666666666666,61.533188876681294
23,I,3,3,544.3333333333334,37.581023580170545
25,D,1,6,539.1666666666666,101.13044381721396
25,D,2,4,482.25,63.30021063682701
25,D,3,5,505.2,69.07749271651367
25,I,1,7,469.42857142857144,89.4890256639646
25,I,2,5,470.2,114.34028161588549
25,I,3,4,537.75,85.72971091362278
26,D,1,6,532.8333333333334,41.98769661063424
26,D,2,4,539.0,32.30067078766838
26,D,3,5,526.0,55.502252206554644
26,I,1,4,543.0,55.737479909542614
26,I,2,4,561.75,84.70487982794538
26,I,3,4,511.75,34.635001563928554
27,D,1,4,541.0,49.866488413228645
27,D,2,6,559.0,38.173289090671766
27,D,3,4,544.75,89.01451192549075
27,I,1,6,547.1666666666666,41.37833571649137
27,I,2,4,462.5,73.55043620990067
27,I,3,5,544.0,31.12073263919087
28,D,1,4,629.25,53.84158863431379
28,D,2,5,524.2,53.704748393414896
28,D,3,5,562.0,138.78040207464454
28,I,1,4,588.0,110.89033621856625
28,I,2,8,570.125,77.71824110207332
28,I,3,3,564.0,88.3911760301898
29,D,1,4,466.0,67.92643079096678
29,D,2,5,431.0,49.22905646059042
29,D,3,5,441.0,50.32891812864648
29,I,1,5,474.2,94.1472251317053
29,I,2,5,533.2,148.5284484534865
29,I,3,3,452.6666666666667,52.993710318615484
31,D,1,7,513.7142857142857,79.87221937927748
31,D,2,6,467.0,47.682281824593915
31,D,3,4,441.75,29.409465596414137
31,I,1,7,505.14285714285717,72.82725810992423
31,I,2,3,468.0,24.879710609249457
31,I,3,3,445.3333333333333,63.00264544710272
32,D,1,8,561.875,44.69399927762755
32,D,2,4,475.5,31.1180547806789
32,D,3,5,455.2,98.48451654955717
32,I,1,4,477.5,28.75760768909681
32,I,2,5,495.4,98.26138610868462
32,I,3,4,538.0,105.66298626608405
33,D,1,5,625.8,96.4038380978683
33,D,2,2,585.5,85.55992052357225
33,D,3,4,597.5,48.25280648141966
33,I,1,5,593.4,57.517823324600876
33,I,2,5,635.8,70.23674252127584
33,I,3,3,593.0,59.57348403442592
