subject,direction_clean,distance,n_rt,rt_mean_ms,rt_sd_ms
02,D,1,5,496.2,70.06211529778416
02,D,2,6,462.8333333333333,30.81828461590078
02,D,3,5,476.2,14.202112518917748
02,I,1,7,508.0,89.57306142659928
02,I,2,7,492.2857142857143,41.79997721576047
02,I,3,4,464.5,110.31621216605774
03,D,1,6,485.5,31.31613002910801
03,D,2,4,545.25,98.07947457716794
03,D,3,6,481.5,42.0321305669841
03,I,1,6,481.1666666666667,52.1283671973971
03,I,2,4,589.25,98.86817823074657
03,I,3,4,541.5,62.89939056408523
04,D,1,6,593.3333333333334,92.64915901758994
04,D,2,5,588.8,70.15482877179589
04,D,3,4,549.5,43.30896750866577
04,I,1,1,548.0,
04,I,2,2,628.0,107.48023074035522
04,I,3,5,600.2,104.83892406925968
05,D,1,5,567.6,37.367097826831575
05,D,2,5,565.8,55.787095281973606
05,D,3,5,592.0,43.96589587396121
05,I,1,4,588.75,13.375973484822213
05,I,2,5,647.2,44.634067706181575
05,I,3,2,519.0,1.4142135623730951
08,D,1,2,468.5,3.5355339059327378
08,D,2,5,549.8,51.567431582346636
08,D,3,2,452.5,4.949747468305833
08,I,1,3,576.3333333333334,14.224392195567928
08,I,2,1,598.0,
08,I,3,4,491.25,101.60175523418218
09,D,1,1,658.0,
09,D,2,3,550.3333333333334,20.03330560175561
09,D,3,4,520.5,28.19574435974336
09,I,1,3,559.6666666666666,66.78572701807876
09,I,3,3,560.6666666666666,35.21836642056716
10,D,1,3,508.6666666666667,16.165807537309522
10,D,2,7,499.14285714285717,80.64413301955817
10,D,3,2,415.0,42.42640687119285
10,I,1,5,560.4,103.41808352507796
10,I,2,1,537.0,
10,I,3,4,438.0,63.880096013286234
11,D,1,6,548.6666666666666,32.47563189018293
11,D,2,2,575.0,48.08326112068523
11,D,3,3,519.6666666666666,113.03244372008125
11,I,1,2,537.5,40.30508652763321
11,I,2,1,697.0,
11,I,3,1,453.0,
12,D,1,3,602.0,23.259406699226016
12,D,2,4,539.75,6.5
12,D,3,3,521.6666666666666,48.38732616433082
12,I,1,2,544.5,94.04520189781083
12,I,2,2,520.5,54.44722215136416
12,I,3,1,495.0,
13,D,1,5,575.4,56.910455981304516
13,D,2,7,547.8571428571429,57.2754414254154
13,D,3,5,593.4,57.47434210149778
13,I,1,5,590.4,84.41149210859858
13,I,2,6,624.3333333333334,45.45620603027346
13,I,3,3,526.0,34.597687784012386
14,D,1,5,481.4,61.39869705457927
14,D,2,6,460.6666666666667,60.48691318514003
14,D,3,4,392.75,32.62284475639732
14,I,1,4,519.0,82.61154075954924
14,I,2,4,445.25,69.09112340477128
14,I,3,3,428.3333333333333,141.76153686149615
15,D,1,4,541.75,72.04801639647455
15,D,2,2,548.5,3.5355339059327378
15,D,3,2,535.0,35.35533905932738
15,I,1,5,538.2,105.46658238513277
15,I,2,4,506.75,12.311918344975055
15,I,3,3,580.0,132.52546925025393
17,D,1,5,497.6,46.360543568858205
17,D,2,6,488.8333333333333,56.598292082594384
17,D,3,3,507.3333333333333,38.759944960401235
17,I,1,5,554.0,42.61455150532504
17,I,2,8,517.875,44.96804420919371
17,I,3,5,505.2,67.14685398438262
21,D,1,6,538.1666666666666,41.84455360816585
21,D,2,5,514.0,54.4426303552648
21,D,3,6,487.5,47.911376519569956
21,I,1,4,515.25,67.237762207458
21,I,2,2,536.5,21.920310216782973
21,I,3,2,554.5,21.920310216782973
22,D,1,5,539.0,50.965674723288025
22,D,2,5,554.0,38.93584466786357
22,D,3,6,573.3333333333334,48.660730231539546
22,I,1,3,480.3333333333333,55.22076903967686
22,I,2,7,516.7142857142857,107.41774261532137
22,I,3,4,559.25,83.48003753393184
23,D,1,1,504.0,
23,D,2,3,530.6666666666666,95.50043629917789
23,D,3,3,528.0,61.587336360651285
23,I,1,1,595.0,
