Source,SS,DF,MS,F,p-unc,ng2,eps
condition,202.46142996612213,3,67.48714332204071,1.1474382043144764,0.3621347046640379,0.16342868251994003,0.741304830263072
Error,882.2323904017138,15,58.81549269344759,,,,
