analysis_id,condition,p1_amp,n1_amp,p2p_amp,p1_lat_ms,n1_lat_ms,roi_channels
landing_on_all_ACC1,Landing on 1,2.2051863252647457,-2.75048484955107,4.955671174815816,116.0,180.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
landing_on_all_ACC1,Landing on 2,0.5155214889656878,-4.517028756660349,5.032550245626037,108.0,172.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
landing_on_all_ACC1,Landing on 3,1.1556972671202541,-4.453467234026498,5.6091645011467515,104.0,168.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
landing_on_all_ACC1,Landing on 4,1.57344992714159,-4.359100274588009,5.932550201729599,104.0,172.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
landing_on_all_ACC1,Landing on 5,1.2531720877007024,-4.394107328171229,5.647279415871932,100.0,164.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
landing_on_all_ACC1,Landing on 6,1.487576604037937,-4.605494441210162,6.093071045248099,96.0,164.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
