Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher
condition,50.35866623166584,5,10.071733246333169,2.1260517980341227,0.06721250594257605,0.09778392599834747,0.025394954056262076,0.661890290554205,False,0.2616056869645445,0.013496823475163212
Error,544.7888543446131,115,4.737294385605331,,,,,,,,
