Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher
condition,72.10093546441449,5,14.420187092882898,0.329101739281297,0.8943431291114312,0.8289917597402283,0.00579678810817597,0.6827763941764977,False,0.2304249095408997,0.02288062473608619
Error,4381.680608669577,100,43.81680608669577,,,,,,,,
