condition,count,mean,std,min,25%,50%,75%,max,sem
"Cardinality (no change, no 1)",24.0,105.83333333333333,7.269152612935357,92.0,103.0,108.0,112.0,112.0,1.4838095636758912
Decrease by 1 (no 1),24.0,103.33333333333333,7.428889943800584,92.0,96.0,104.0,112.0,112.0,1.5164158098003857
Decrease by 2 (no 1),24.0,105.16666666666667,7.596719352953368,92.0,100.0,108.0,112.0,112.0,1.5506738444884787
Decrease by 3 (no 1),24.0,103.33333333333333,7.970961791657138,92.0,96.0,104.0,112.0,112.0,1.6270657623983988
Increase by 1 (no 1),24.0,101.83333333333333,7.642368553102453,92.0,92.0,104.0,108.0,112.0,1.5599919484494316
Increase by 2 (no 1),24.0,101.83333333333333,7.732858556140502,92.0,95.0,100.0,109.0,112.0,1.5784631429716078
Increase by 3 (no 1),24.0,101.5,8.156086017841817,92.0,92.0,102.0,108.0,112.0,1.6648540868300683
