Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher
condition,16.426287903439217,2,8.213143951719609,2.9251920851770943,0.07943175102314975,0.11577609069053654,0.13349438218653764,0.5580971817724819,False,0.20819736658754895,0.0018788881523339018
Error,50.539105407842904,18,2.807728078213495,,,,,,,,
