subject_id,component,condition,latency_frac_area_ms,mean_amplitude_roi,n_epochs,baseline_noise_uv,snr,peak_latency_ms,window_start_ms,window_end_ms,fwhm_ms
02,P1,Large_Increasing,nan,-0.9021484539349446,11,1.4056262735286682,0.6418124582078288,108.0,94.92711469216289,116.4819534541017,21.55483876193881
02,N1,Large_Increasing,nan,1.4287921933260086,11,1.023138865643962,1.3964792476402792,168.0,136.93814435353593,205.21477819652853,68.2766338429926
02,P3b,Large_Increasing,511.4702289072972,4.655770006626358,11,0.5834226342009476,7.980098360432783,472.0,445.1021025922116,552.8636027467434,107.76150015453175
02,P1,Large_Decreasing,113.29603191173928,0.6733275132698786,13,1.0475425799263671,0.6427686341086083,108.0,94.92711469216289,116.4819534541017,21.55483876193881
02,N1,Large_Decreasing,163.92130325523905,-2.765787981325634,13,1.0934825087291449,2.529339023941094,168.0,136.93814435353593,205.21477819652853,68.2766338429926
02,P3b,Large_Decreasing,479.84540503696513,2.4258265716793836,13,0.8658120056537998,2.8017936409273645,472.0,445.1021025922116,552.8636027467434,107.76150015453175
03,P1,Large_Decreasing,105.04793166439231,5.281920149464265,11,1.1736213572653091,4.500531723256834,108.0,94.92711469216289,116.4819534541017,21.55483876193881
03,N1,Large_Decreasing,164.10248937622165,-4.678865896088436,11,1.2742298093939515,3.6719168407414644,168.0,136.93814435353593,205.21477819652853,68.2766338429926
03,P3b,Large_Decreasing,nan,-5.062716305976958,11,1.1193547104030401,4.522888284585012,472.0,445.1021025922116,552.8636027467434,107.76150015453175
04,P1,Large_Increasing,nan,-1.1572783953772017,9,0.8971896488251345,1.289892718772059,108.0,94.92711469216289,116.4819534541017,21.55483876193881
04,N1,Large_Increasing,176.1203612725249,-2.222356819096799,9,0.6820481841625464,3.2583575042070114,168.0,136.93814435353593,205.21477819652853,68.2766338429926
04,P3b,Large_Increasing,514.3635874964548,1.5071210861430644,9,0.741304748131114,2.0330654699604067,472.0,445.1021025922116,552.8636027467434,107.76150015453175
04,P1,Large_Decreasing,109.23667349853282,1.6407495653436242,13,0.5636060463797712,2.911163881017075,108.0,94.92711469216289,116.4819534541017,21.55483876193881
04,N1,Large_Decreasing,187.47393749553655,-0.9892711146064135,13,0.5335342452750772,1.8541848501146716,168.0,136.93814435353593,205.21477819652853,68.2766338429926
04,P3b,Large_Decreasing,493.8414579109603,3.522070786757679,13,0.6546578513120943,5.380017637760837,472.0,445.1021025922116,552.8636027467434,107.76150015453175
05,P1,Large_Decreasing,108.05860733386825,1.4864422688859873,10,0.7690569052301094,1.9328118098637046,108.0,94.92711469216289,116.4819534541017,21.55483876193881
05,N1,Large_Decreasing,173.15151426261545,-6.009294562284981,10,0.5466817166067384,10.992309381745493,168.0,136.93814435353593,205.21477819652853,68.2766338429926
05,P3b,Large_Decreasing,506.93681159004484,2.0465025422917194,10,0.4616133075958999,4.433369897739699,472.0,445.1021025922116,552.8636027467434,107.76150015453175
08,P1,Large_Decreasing,112.75615964309938,0.7259702574086511,8,1.1057880249308694,0.6565184656019734,108.0,94.92711469216289,116.4819534541017,21.55483876193881
08,N1,Large_Decreasing,184.25402918963795,-1.7117393985293254,8,0.6020376758738601,2.843242984826039,168.0,136.93814435353593,205.21477819652853,68.2766338429926
08,P3b,Large_Decreasing,nan,-1.434635809236705,8,1.3213870887476924,1.085704424883053,472.0,445.1021025922116,552.8636027467434,107.76150015453175
09,P1,Large_Decreasing,102.73387593387238,0.13329387071107648,10,0.7065863223187023,0.18864484989415764,108.0,94.92711469216289,116.4819534541017,21.55483876193881
09,N1,Large_Decreasing,172.7372214616785,-3.8834039052851628,10,0.7393756791457691,5.252274337413719,168.0,136.93814435353593,205.21477819652853,68.2766338429926
09,P3b,Large_Decreasing,492.05521465362125,4.506150951885683,10,0.6603954453967843,6.823413128142124,472.0,445.1021025922116,552.8636027467434,107.76150015453175
10,P1,Large_Increasing,107.74308568628878,2.288504158439723,8,1.0098405745176529,2.2662034148635986,108.0,94.92711469216289,116.4819534541017,21.55483876193881
10,N1,Large_Increasing,173.10734458209134,-3.1920220971777553,8,0.6717760457688108,4.751616431223982,168.0,136.93814435353593,205.21477819652853,68.2766338429926
10,P3b,Large_Increasing,nan,-1.854082345137195,8,0.9934413808973478,1.8663228458054106,472.0,445.1021025922116,552.8636027467434,107.76150015453175
10,P1,Large_Decreasing,nan,-1.3711445437519825,10,1.0238110546714503,1.339255458803377,108.0,94.92711469216289,116.4819534541017,21.55483876193881
10,N1,Large_Decreasing,175.9978828986471,-1.6847953774975566,10,0.8460870264595309,1.9912790585474622,168.0,136.93814435353593,205.21477819652853,68.2766338429926
10,P3b,Large_Decreasing,513.5843595661305,1.5086666478953876,10,0.7730807133485392,1.9514995288922872,472.0,445.1021025922116,552.8636027467434,107.76150015453175
