Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher
condition,17.5951869001641,4,4.398796725041025,1.6712119504588534,0.16605474757389413,0.19014073269962212,0.032747587263483764,0.6680190361322241,False,0.12324016971939761,8.375782551816568e-05
Error,189.5111892396389,72,2.6320998505505404,,,,,,,,
