Source,SS,DF,MS,F,p-unc,ng2,eps
condition,17.966254461565107,4,4.491563615391277,2.2930378262173527,0.06763024860570385,0.07091782593375766,0.6251299970202023
Error,141.0323792353865,72,1.9587830449359234,,,,
