condition,count,mean,std,min,25%,50%,75%,max,sem
4 to 3,12.0,100.0,11.05358847532412,88.0,91.0,100.0,107.0,116.0,3.190896140869863
5 to 3,4.0,102.0,16.165807537309522,88.0,88.0,102.0,116.0,116.0,8.082903768654761
6 to 3,8.0,103.0,10.63686312513502,88.0,98.0,100.0,113.0,116.0,3.7606990231680526
Cardinality3,12.0,105.0,10.937840903778206,88.0,96.0,106.0,116.0,116.0,3.157482695074823
