condition,count,mean,std,min,25%,50%,75%,max,sem
4 to 3,23.0,176.77953558873818,10.805382019282689,157.098948499707,171.16684847115607,177.62062116915513,179.49733161824065,207.19912807604464,2.253077900413581
5 to 3,24.0,176.27431101073867,10.942360641966209,153.64695462055943,171.7321068599682,175.88635031423843,179.15688793371416,210.9648525938897,2.2336000128608817
6 to 3,23.0,176.7953748585014,9.330203499711137,161.4638385521924,170.98138655131623,175.28834963537153,180.6943082963631,203.2388646431048,1.9454819157755352
Cardinality3,23.0,175.90068823799237,12.732111057500713,151.9311392048339,170.5069952591421,175.43463228904687,178.2251985715511,209.21512993298344,2.654828676864365
