analysis_id,component,condition,n_subjects,collapsed_peak_latency_ms,window_start_ms,window_end_ms,fwhm_ms,mean_amplitude_roi,peak_amplitude_roi,latency_frac_area_ms,latency_peak_ms,roi_channels
landing_on_6_any_preceding,P1,3 to 6,24,96.0,75.07556978846921,108.21086916458154,33.13529937611233,0.24290916925548112,0.42262541929166697,91.86081424757185,96.0,E71;E75;E76;E70;E83;E74;E81;E82
landing_on_6_any_preceding,P1,4 to 6,24,96.0,75.07556978846921,108.21086916458154,33.13529937611233,0.28252343855711115,0.5558586556094748,92.652265403055,92.0,E71;E75;E76;E70;E83;E74;E81;E82
landing_on_6_any_preceding,P1,5 to 6,24,96.0,75.07556978846921,108.21086916458154,33.13529937611233,0.27015344931243224,0.5805525280021385,93.20707538827068,92.0,E71;E75;E76;E70;E83;E74;E81;E82
landing_on_6_any_preceding,P1,Cardinality6,24,96.0,75.07556978846921,108.21086916458154,33.13529937611233,0.22523552937945857,0.415978431064155,98.4044473271383,100.0,E71;E75;E76;E70;E83;E74;E81;E82
landing_on_6_any_preceding,N1,3 to 6,24,172.0,135.30064152043562,208.99011349263577,73.68947197220015,-4.354433020600515,-5.057488481573189,171.75759047396878,168.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
landing_on_6_any_preceding,N1,4 to 6,24,172.0,135.30064152043562,208.99011349263577,73.68947197220015,-3.5926172999052515,-4.185006211430332,170.57595074798735,164.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
landing_on_6_any_preceding,N1,5 to 6,24,172.0,135.30064152043562,208.99011349263577,73.68947197220015,-3.538622037946697,-4.293242203547385,171.9501664424853,172.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
landing_on_6_any_preceding,N1,Cardinality6,24,172.0,135.30064152043562,208.99011349263577,73.68947197220015,-3.0598104189167565,-4.223071174296272,172.20419088322632,172.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
landing_on_6_any_preceding,P3b,3 to 6,24,472.0,429.987572689423,508.831891358235,78.84431866881198,2.004810705845287,2.2999298519740656,468.7814192839359,476.0,E54;E61;E78;E79;E62;E72;E55;E77;E67
landing_on_6_any_preceding,P3b,4 to 6,24,472.0,429.987572689423,508.831891358235,78.84431866881198,2.3737879309369383,2.579552002140143,471.5545061941248,500.0,E54;E61;E78;E79;E62;E72;E55;E77;E67
landing_on_6_any_preceding,P3b,5 to 6,24,472.0,429.987572689423,508.831891358235,78.84431866881198,-0.2621981313358951,-0.13986201906934667,472.0,488.0,E54;E61;E78;E79;E62;E72;E55;E77;E67
landing_on_6_any_preceding,P3b,Cardinality6,24,472.0,429.987572689423,508.831891358235,78.84431866881198,0.5616288935629252,0.8474249598459171,464.25302401581627,456.0,E54;E61;E78;E79;E62;E72;E55;E77;E67
