subject_id,component,condition,latency_frac_area_ms,mean_amplitude_roi,n_epochs,baseline_noise_uv,snr,peak_latency_ms,window_start_ms,window_end_ms,fwhm_ms
04,P1,Cardinality2,124.76833969387484,1.3884384884235703,8,1.6305809578361945,0.8514992657991353,108.0,92.89680200206038,134.33528682495708,41.4384848228967
04,N1,Cardinality2,nan,0.46493983718346754,8,1.560868707938734,0.29787248268783734,168.0,145.04543502100228,199.79717190704025,54.751736886037975
04,P3b,Cardinality2,463.6618204286069,2.00906088333339,8,1.827912763579119,1.0991010749329067,472.0,424.7046962817801,531.6260696955106,106.92137341373052
04,P1,3 to 2,nan,-1.0086926482344376,8,1.295336788602892,0.7787107238129017,108.0,92.89680200206038,134.33528682495708,41.4384848228967
04,N1,3 to 2,189.44258949645612,-0.9343214613442872,8,0.9222712910317108,1.0130657545450605,168.0,145.04543502100228,199.79717190704025,54.751736886037975
04,P3b,3 to 2,485.21884396952566,4.75859822842593,8,0.7821170658874376,6.0842531584789485,472.0,424.7046962817801,531.6260696955106,106.92137341373052
05,P1,4 to 2,121.26582705796925,0.8892039664713879,8,1.0904479754875556,0.8154483170770357,108.0,92.89680200206038,134.33528682495708,41.4384848228967
05,N1,4 to 2,175.9119576353847,-5.587865181596997,8,0.7516368849097096,7.4342615347678676,168.0,145.04543502100228,199.79717190704025,54.751736886037975
05,P3b,4 to 2,487.5242993333968,0.6706760308833702,8,0.42356255796012154,1.5834167073533314,472.0,424.7046962817801,531.6260696955106,106.92137341373052
08,P1,Cardinality2,127.22273682008213,1.183183638939707,9,2.3196265022858977,0.5100750650045288,108.0,92.89680200206038,134.33528682495708,41.4384848228967
08,N1,Cardinality2,178.08476489365728,-2.5861417951689556,9,2.198141414359085,1.1765129296392427,168.0,145.04543502100228,199.79717190704025,54.751736886037975
08,P3b,Cardinality2,nan,-2.8432430501551704,9,1.0137646149245798,2.804638284170825,472.0,424.7046962817801,531.6260696955106,106.92137341373052
09,P1,5 to 2,nan,-1.9130293042475806,8,2.2938285871559247,0.8339896516066659,108.0,92.89680200206038,134.33528682495708,41.4384848228967
09,N1,5 to 2,169.15954990322456,-5.938701745617804,8,2.0247629931517475,2.933035503762155,168.0,145.04543502100228,199.79717190704025,54.751736886037975
09,P3b,5 to 2,479.9033469521355,6.399822970752606,8,1.6109915472237981,3.9725987276477905,472.0,424.7046962817801,531.6260696955106,106.92137341373052
10,P1,Cardinality2,100.89020154172687,0.8697612572028486,8,1.3200709883067498,0.658874609704504,108.0,92.89680200206038,134.33528682495708,41.4384848228967
10,N1,Cardinality2,167.76024884154845,-2.7769087377129655,8,1.3638675384384653,2.0360545723467656,168.0,145.04543502100228,199.79717190704025,54.751736886037975
10,P3b,Cardinality2,nan,-0.12738882650885291,8,1.2015737077894402,0.10601832054332543,472.0,424.7046962817801,531.6260696955106,106.92137341373052
10,P1,4 to 2,nan,-2.5587957117785782,8,1.392369041311588,1.83772809927477,108.0,92.89680200206038,134.33528682495708,41.4384848228967
10,N1,4 to 2,169.7046453415682,-6.4523651753960065,8,1.4995517623405612,4.30286258696725,168.0,145.04543502100228,199.79717190704025,54.751736886037975
10,P3b,4 to 2,nan,-4.546895629168485,8,1.26922063629197,3.5824312173589044,472.0,424.7046962817801,531.6260696955106,106.92137341373052
10,P1,5 to 2,97.16614985148797,0.1828824496683716,9,1.2591465875401173,0.1452431761941656,108.0,92.89680200206038,134.33528682495708,41.4384848228967
10,N1,5 to 2,168.16806809434226,-6.360120248328192,9,1.4966719582097596,4.249508526862382,168.0,145.04543502100228,199.79717190704025,54.751736886037975
10,P3b,5 to 2,nan,-2.2044711319602084,9,0.9478002031621438,2.3258816832972142,472.0,424.7046962817801,531.6260696955106,106.92137341373052
11,P1,4 to 2,nan,-0.10611837136647598,8,1.4399810781804636,0.07369428180303966,108.0,92.89680200206038,134.33528682495708,41.4384848228967
11,N1,4 to 2,181.35778627636284,-4.446914459290576,8,0.6731902017641214,6.6057325962814994,168.0,145.04543502100228,199.79717190704025,54.751736886037975
11,P3b,4 to 2,nan,-0.55133127568143,8,0.50912100349045,1.082908133629517,472.0,424.7046962817801,531.6260696955106,106.92137341373052
13,P1,4 to 2,120.55761881800838,2.893774874359129,8,1.4430097522627041,2.005374440347032,108.0,92.89680200206038,134.33528682495708,41.4384848228967
13,N1,4 to 2,193.12572325502606,-0.2500071885950331,8,1.1721459695991343,0.21329014907634228,168.0,145.04543502100228,199.79717190704025,54.751736886037975
13,P3b,4 to 2,481.07449525304423,3.2063291829377603,8,1.4322025327788477,2.2387400591427826,472.0,424.7046962817801,531.6260696955106,106.92137341373052
23,P1,5 to 2,nan,-1.2589495412427074,8,1.3977842400423262,0.9006751579947598,108.0,92.89680200206038,134.33528682495708,41.4384848228967
23,N1,5 to 2,170.75104046244414,-9.942670015227048,8,1.4179423270092402,7.012041199304896,168.0,145.04543502100228,199.79717190704025,54.751736886037975
23,P3b,5 to 2,498.5793613202255,1.9358634985583738,8,1.3382315839158785,1.4465833281962523,472.0,424.7046962817801,531.6260696955106,106.92137341373052
25,P1,increasing 1 to 2,nan,-6.132311203130105,8,0.7807673834817745,7.8542102716733835,108.0,92.89680200206038,134.33528682495708,41.4384848228967
25,N1,increasing 1 to 2,160.34708555427153,-4.548300146500636,8,0.7267561718994888,6.258357785408213,168.0,145.04543502100228,199.79717190704025,54.751736886037975
25,P3b,increasing 1 to 2,453.8522362512786,1.4073258444571577,8,0.457940944670897,3.0731601112203317,472.0,424.7046962817801,531.6260696955106,106.92137341373052
