analysis_id,component,condition,n_subjects,peak_latency_ms,window_start_ms,window_end_ms,fwhm_ms,mean_amplitude_roi,latency_frac_area_ms,roi_channels
landing_on_2,P1,increasing 1 to 2,3,108.0,92.89680200206038,134.33528682495708,41.4384848228967,-1.5453157506946473,108.0,E71;E75;E76;E70;E83;E74;E81;E82
landing_on_2,P1,Cardinality2,4,108.0,92.89680200206038,134.33528682495708,41.4384848228967,0.5761589564122478,125.3194243986267,E71;E75;E76;E70;E83;E74;E81;E82
landing_on_2,P1,3 to 2,3,108.0,92.89680200206038,134.33528682495708,41.4384848228967,-0.4167687190918839,108.0,E71;E75;E76;E70;E83;E74;E81;E82
landing_on_2,P1,4 to 2,4,108.0,92.89680200206038,134.33528682495708,41.4384848228967,0.2795161894213655,124.84842571758732,E71;E75;E76;E70;E83;E74;E81;E82
landing_on_2,P1,5 to 2,4,108.0,92.89680200206038,134.33528682495708,41.4384848228967,-0.41558249212554277,108.0,E71;E75;E76;E70;E83;E74;E81;E82
landing_on_2,N1,increasing 1 to 2,3,168.0,145.04543502100228,199.79717190704025,54.751736886037975,-4.032450405455078,163.90988690650806,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
landing_on_2,N1,Cardinality2,4,168.0,145.04543502100228,199.79717190704025,54.751736886037975,-1.7819723129987537,176.37173634414017,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
landing_on_2,N1,3 to 2,3,168.0,145.04543502100228,199.79717190704025,54.751736886037975,-1.9800249036009778,176.74574614850516,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
landing_on_2,N1,4 to 2,4,168.0,145.04543502100228,199.79717190704025,54.751736886037975,-4.184288001219653,176.0776046574515,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
landing_on_2,N1,5 to 2,4,168.0,145.04543502100228,199.79717190704025,54.751736886037975,-7.010784149304936,169.6507154918191,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
landing_on_2,P3b,increasing 1 to 2,3,472.0,424.7046962817801,531.6260696955106,106.92137341373052,-1.083061590537859,472.0,E54;E55;E61;E78;E79;E62;E72;E55;E77;E67
landing_on_2,P3b,Cardinality2,4,472.0,424.7046962817801,531.6260696955106,106.92137341373052,0.14243015735466472,438.221321662918,E54;E55;E61;E78;E79;E62;E72;E55;E77;E67
landing_on_2,P3b,3 to 2,3,472.0,424.7046962817801,531.6260696955106,106.92137341373052,3.344665249955585,490.25182918016503,E54;E55;E61;E78;E79;E62;E72;E55;E77;E67
landing_on_2,P3b,4 to 2,4,472.0,424.7046962817801,531.6260696955106,106.92137341373052,-0.3053054227571963,472.0,E54;E55;E61;E78;E79;E62;E72;E55;E77;E67
landing_on_2,P3b,5 to 2,4,472.0,424.7046962817801,531.6260696955106,106.92137341373052,2.3112418349345263,487.6099218714308,E54;E55;E61;E78;E79;E62;E72;E55;E77;E67
