Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher
condition,3.211239164974548,2,1.605619582487274,0.0739324613235968,0.9288445458751202,0.8857082503605442,0.000455918574720988,0.7750383303190651,False,0.7097412335873795,0.023019739632137808
Error,998.9996203581204,46,21.717383051263486,,,,,,,,
