subject_id,condition,p1_peak_uv,p1_latency_ms,n1_peak_uv,n1_latency_ms,p2p_amplitude_uv,n_epochs,window_p1_start_ms,window_p1_end_ms,window_n1_start_ms,window_n1_end_ms
02,Small_Increasing,4.100963835082662,120.0,-3.648717204942315,172.0,7.749681040024977,21,83.93068898105489,125.04367464419565,141.44668271254648,214.50049615054394
02,Small_Decreasing,4.785855224999168,120.0,-1.4609135646430356,172.0,6.2467687896422035,21,83.93068898105489,125.04367464419565,141.44668271254648,214.50049615054394
03,Small_Increasing,5.281024435571432,104.0,-6.963812250286633,148.0,12.244836685858065,21,83.93068898105489,125.04367464419565,141.44668271254648,214.50049615054394
03,Small_Decreasing,3.493368978925134,96.0,-4.800361075763549,188.0,8.293730054688684,22,83.93068898105489,125.04367464419565,141.44668271254648,214.50049615054394
04,Small_Increasing,0.7061776828002942,100.0,-1.563394966348306,212.0,2.2695726491486004,20,83.93068898105489,125.04367464419565,141.44668271254648,214.50049615054394
04,Small_Decreasing,0.645498778691309,124.0,-1.5297473310584542,192.0,2.175246109749763,22,83.93068898105489,125.04367464419565,141.44668271254648,214.50049615054394
05,Small_Increasing,1.3412582028679654,120.0,-7.223297363660337,172.0,8.564555566528302,20,83.93068898105489,125.04367464419565,141.44668271254648,214.50049615054394
05,Small_Decreasing,1.6506536917549461,124.0,-4.410135760788909,176.0,6.060789452543855,16,83.93068898105489,125.04367464419565,141.44668271254648,214.50049615054394
08,Small_Increasing,1.9148097767322054,84.0,-2.1857680444824945,144.0,4.1005778212147,19,83.93068898105489,125.04367464419565,141.44668271254648,214.50049615054394
08,Small_Decreasing,2.0614949578062425,124.0,-2.2735577427598184,208.0,4.335052700566061,19,83.93068898105489,125.04367464419565,141.44668271254648,214.50049615054394
09,Small_Increasing,3.2994456864753383,104.0,-5.998144321393851,168.0,9.29759000786919,17,83.93068898105489,125.04367464419565,141.44668271254648,214.50049615054394
09,Small_Decreasing,3.332358350825601,100.0,-6.900289538990555,168.0,10.232647889816157,14,83.93068898105489,125.04367464419565,141.44668271254648,214.50049615054394
10,Small_Increasing,0.6570263611176993,84.0,-4.296293572057118,164.0,4.953319933174817,19,83.93068898105489,125.04367464419565,141.44668271254648,214.50049615054394
10,Small_Decreasing,2.1682857110243208,84.0,-5.910985217842069,168.0,8.07927092886639,20,83.93068898105489,125.04367464419565,141.44668271254648,214.50049615054394
11,Small_Increasing,0.19561900792563067,116.0,-8.272147129115275,200.0,8.467766137040906,16,83.93068898105489,125.04367464419565,141.44668271254648,214.50049615054394
11,Small_Decreasing,-0.9087067841094294,116.0,-9.672727633898925,200.0,8.764020849789496,15,83.93068898105489,125.04367464419565,141.44668271254648,214.50049615054394
12,Small_Increasing,1.1795406812688893,124.0,-5.7515616084582355,188.0,6.931102289727125,16,83.93068898105489,125.04367464419565,141.44668271254648,214.50049615054394
