Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher
condition,4.0,2,2.0,0.027856277755349237,0.9725445231264208,0.9448429760180314,0.0002631925253322806,0.7712243120228937,False,0.7033603785427476,0.02084284032983109
Error,3302.6666666666642,46,71.7971014492753,,,,,,,,
