Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher
condition,1.7818814137602514,2,0.8909407068801257,1.267263636327067,0.3032602142986959,0.2941701808050272,0.027296728401907968,0.6264537339184609,False,0.40371292266867265,0.01687823115370409
Error,14.060858077840145,20,0.7030429038920072,,,,,,,,
