Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher
condition,5.879904794122929,2,2.9399523970614645,0.19325431839733606,0.8250373598971703,0.7505943883744295,0.001261191190159403,0.7147397506883123,False,0.6008893460354514,0.00791676560943377
Error,608.5147118972718,40,15.212867797431795,,,,,,,,
