Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher
condition,2130.4533698924147,5,426.0906739784829,1.632158322276295,0.18817610771142132,0.24999189176030684,0.21234654422382204,0.32824837874268764,False,6.044469557205217e-05,0.022150987286357126
Error,6526.491152283471,25,261.05964609133883,,,,,,,,
