Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher
condition,136.44444444444485,2,68.22222222222243,1.3122096264634864,0.2791118655148959,0.27620572170527175,0.02143854748603358,0.7819706468944824,False,0.721179619757596,0.02744592660464174
Error,2391.5555555555557,46,51.99033816425121,,,,,,,,
