analysis_id,condition,p1_amp,n1_amp,p2p_amp,p1_lat_ms,n1_lat_ms,roi_channels
landing_on_2_ACC1,2 to 2,0.3406287189850692,-3.329831534550057,3.6704602535351265,112.0,168.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
landing_on_2_ACC1,3 to 2,0.15047845921291136,-4.190130916581222,4.340609375794134,112.0,172.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
landing_on_2_ACC1,4 to 2,0.758736674275162,-4.812250506315365,5.570987180590527,112.0,184.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
landing_on_2_ACC1,5 to 2,1.1043310505202864,-5.435984250682461,6.540315301202748,104.0,172.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
landing_on_2_ACC1,increasing 1 to 2,-0.023881353324101597,-3.5484948265956104,3.5246134732715086,104.0,164.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
