analysis_id,component,condition,n_subjects,peak_latency_ms,window_start_ms,window_end_ms,fwhm_ms,mean_amplitude_roi,latency_frac_area_ms,roi_channels
landing_on_2_ACC1,P1,increasing 1 to 2,1,104.0,93.57210494708303,120.81171034721845,27.239605400135417,0.7296225404279306,106.03600952896271,E71;E75;E76;E70;E83;E74;E81;E82
landing_on_2_ACC1,P1,3 to 2,1,104.0,93.57210494708303,120.81171034721845,27.239605400135417,0.10905567188170592,97.58986405598344,E71;E75;E76;E70;E83;E74;E81;E82
landing_on_2_ACC1,P1,4 to 2,2,104.0,93.57210494708303,120.81171034721845,27.239605400135417,0.09685636305838068,114.78258094705318,E71;E75;E76;E70;E83;E74;E81;E82
landing_on_2_ACC1,P1,5 to 2,4,104.0,93.57210494708303,120.81171034721845,27.239605400135417,0.017213044485715097,98.3446143007252,E71;E75;E76;E70;E83;E74;E81;E82
landing_on_2_ACC1,N1,increasing 1 to 2,1,164.0,144.4690987964066,197.63778390242055,53.16868510601395,-4.2404056521178966,169.64056895056302,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
landing_on_2_ACC1,N1,3 to 2,1,164.0,144.4690987964066,197.63778390242055,53.16868510601395,-4.007398547033006,170.06691512746553,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
landing_on_2_ACC1,N1,4 to 2,2,164.0,144.4690987964066,197.63778390242055,53.16868510601395,-3.35118618199552,173.4308515300741,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
landing_on_2_ACC1,N1,5 to 2,4,164.0,144.4690987964066,197.63778390242055,53.16868510601395,-7.066054688321751,169.60059182252255,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
landing_on_2_ACC1,P3b,increasing 1 to 2,1,508.0,445.5583403168388,529.5746314003208,84.01629108348197,-4.052561581647291,508.0,E54;E55;E61;E78;E79;E62;E72;E55;E77;E67
landing_on_2_ACC1,P3b,3 to 2,1,508.0,445.5583403168388,529.5746314003208,84.01629108348197,-0.03909578162656161,506.2896366721847,E54;E55;E61;E78;E79;E62;E72;E55;E77;E67
landing_on_2_ACC1,P3b,4 to 2,2,508.0,445.5583403168388,529.5746314003208,84.01629108348197,-0.4927345464073722,508.0,E54;E55;E61;E78;E79;E62;E72;E55;E77;E67
landing_on_2_ACC1,P3b,5 to 2,4,508.0,445.5583403168388,529.5746314003208,84.01629108348197,2.5142885962987322,490.8581914940072,E54;E55;E61;E78;E79;E62;E72;E55;E77;E67
