Contrast,Coef,Std.Err.,z,P>|z|,P>|z| (adj)
1 to 1 - 1 to 2,-0.5977879343087333,0.5791633789376367,-1.0321576882247974,0.30199825279872883,0.7812898226985543
1 to 1 - 1 to 3,-0.8081560710780468,0.5875965473508034,-1.3753587809895116,0.16902024122900117,0.6707371966142823
1 to 1 - 1 to 4,-0.6519112287136437,0.5813645248485279,-1.1213467641210073,0.2621402871111651,0.7812898226985543
1 to 2 - 1 to 3,-0.21036813676931343,0.4675143825304724,-0.44997147602320386,0.65273100803326,0.9581208344960651
1 to 2 - 1 to 4,-0.05412329440491037,0.46091564234229504,-0.1174255968616404,0.9065228010237227,0.9581208344960651
1 to 3 - 1 to 4,0.15624484236440306,0.4178956470286047,0.37388482860580785,0.7084900042493427,0.9581208344960651
