Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher
condition,216.79999999999922,4,54.199999999999804,0.3839709234275843,0.8195956974215407,0.7481162488753494,0.005343920386760468,0.6889864293083937,False,0.35153655387068267,0.00789409041954658
Error,12986.400000000001,92,141.15652173913045,,,,,,,,
