subject_id,component,condition,latency_frac_area_ms,mean_amplitude_roi,n_epochs,baseline_noise_uv,snr,peak_latency_ms,window_start_ms,window_end_ms,fwhm_ms
03,P1,Increasing 2 to 3,108.62488494798446,1.5641655429125845,8,1.5544087811668779,1.0062768313354369,112.0,96.12547671725699,124.72166755724629,28.596190839989305
03,N1,Increasing 2 to 3,167.55203807320646,-6.044613182642865,8,1.434334913435593,4.214227183639068,172.0,147.08823926444202,195.7151909589868,48.62695169454477
03,P3b,Increasing 2 to 3,nan,-1.9355797650367195,8,1.0088007794030662,1.9186937644735491,456.0,435.8291553585233,477.9003055431426,42.07115018461934
04,P1,Decreasing 3 to 2,nan,-0.9409462489876288,8,1.295336788602892,0.7264105036362803,112.0,96.12547671725699,124.72166755724629,28.596190839989305
04,N1,Decreasing 3 to 2,187.46260746490935,-0.7342804507276188,8,0.9222712910317108,0.7961653559726515,172.0,147.08823926444202,195.7151909589868,48.62695169454477
04,P3b,Decreasing 3 to 2,458.57953265343605,3.977384237740294,8,0.7821170658874376,5.085407813250197,456.0,435.8291553585233,477.9003055431426,42.07115018461934
04,P1,Cardinality2,119.58384065638955,1.1969805760692842,8,1.6305809578361945,0.734082273141283,112.0,96.12547671725699,124.72166755724629,28.596190839989305
04,N1,Cardinality2,nan,0.4349510566339521,8,1.560868707938734,0.2786596043739923,172.0,147.08823926444202,195.7151909589868,48.62695169454477
04,P3b,Cardinality2,455.9862089159014,2.693336095232247,8,1.827912763579119,1.473448924312229,456.0,435.8291553585233,477.9003055431426,42.07115018461934
05,P1,Cardinality3,121.93448212745173,0.2649492104554935,8,1.1112937033532635,0.23841510993540665,112.0,96.12547671725699,124.72166755724629,28.596190839989305
05,N1,Cardinality3,172.84332689098576,-5.220519460126231,8,1.3122584898553442,3.978270668838813,172.0,147.08823926444202,195.7151909589868,48.62695169454477
05,P3b,Cardinality3,nan,-1.3163493017545376,8,0.9112149044310713,1.4446090547393067,456.0,435.8291553585233,477.9003055431426,42.07115018461934
08,P1,Cardinality2,121.38406864472454,0.7922328537215622,9,2.3196265022858977,0.3415346621280835,112.0,96.12547671725699,124.72166755724629,28.596190839989305
08,N1,Cardinality2,176.28422593923298,-2.541426000887283,9,2.198141414359085,1.156170382981611,172.0,147.08823926444202,195.7151909589868,48.62695169454477
08,P3b,Cardinality2,nan,-0.42144069199498874,9,1.0137646149245798,0.4157184871029872,456.0,435.8291553585233,477.9003055431426,42.07115018461934
10,P1,Cardinality3,nan,-0.5526696345178677,8,1.1108215620805604,0.4975323250682329,112.0,96.12547671725699,124.72166755724629,28.596190839989305
10,N1,Cardinality3,171.01605587656502,-3.592953397240349,8,0.9474531951415702,3.7922225769722413,172.0,147.08823926444202,195.7151909589868,48.62695169454477
10,P3b,Cardinality3,nan,-3.055628276932765,8,0.8372015143642098,3.6498121712707126,456.0,435.8291553585233,477.9003055431426,42.07115018461934
10,P1,Cardinality2,104.13073949941017,1.0234446237887114,8,1.3200709883067498,0.7752951415904382,112.0,96.12547671725699,124.72166755724629,28.596190839989305
10,N1,Cardinality2,167.67452504355353,-3.020521306110749,8,1.3638675384384653,2.2146735082272277,172.0,147.08823926444202,195.7151909589868,48.62695169454477
10,P3b,Cardinality2,nan,-0.7619710227475323,8,1.2015737077894402,0.6341442208729301,456.0,435.8291553585233,477.9003055431426,42.07115018461934
13,P1,Increasing 2 to 3,115.08954354703228,4.569786793326313,8,1.6470384561709612,2.7745477200029462,112.0,96.12547671725699,124.72166755724629,28.596190839989305
13,N1,Increasing 2 to 3,nan,1.3064944698632832,8,0.9772806365229173,1.3368672426701107,172.0,147.08823926444202,195.7151909589868,48.62695169454477
13,P3b,Increasing 2 to 3,458.5364585234593,4.022548185316538,8,0.4818421160200523,8.348270214613486,456.0,435.8291553585233,477.9003055431426,42.07115018461934
14,P1,Increasing 2 to 3,119.76244592578679,0.3823427936703429,8,2.628264837447769,0.1454734653154759,112.0,96.12547671725699,124.72166755724629,28.596190839989305
14,N1,Increasing 2 to 3,166.40308554747094,-3.3131520246197774,8,1.6766902927193366,1.976007160658364,172.0,147.08823926444202,195.7151909589868,48.62695169454477
14,P3b,Increasing 2 to 3,455.3274788585089,6.883874415267135,8,0.7398114985701332,9.304903247072946,456.0,435.8291553585233,477.9003055431426,42.07115018461934
22,P1,Increasing 2 to 3,nan,-2.223565571371337,8,1.0120463418657688,2.1970985708737993,112.0,96.12547671725699,124.72166755724629,28.596190839989305
22,N1,Increasing 2 to 3,167.72418463043687,-4.9000771673424035,8,0.8631857707351082,5.676735337248886,172.0,147.08823926444202,195.7151909589868,48.62695169454477
22,P3b,Increasing 2 to 3,nan,-0.14492129651064495,8,0.7591334297398536,0.19090358932066503,456.0,435.8291553585233,477.9003055431426,42.07115018461934
25,P1,Cardinality3,nan,-2.063601137916365,8,0.938345995272403,2.199190009136554,112.0,96.12547671725699,124.72166755724629,28.596190839989305
25,N1,Cardinality3,161.75754746832195,-4.260171217844815,8,0.6791720814502707,6.272594728493336,172.0,147.08823926444202,195.7151909589868,48.62695169454477
25,P3b,Cardinality3,454.67436777581304,1.8087882876829617,8,0.6199254647206378,2.917751230783964,456.0,435.8291553585233,477.9003055431426,42.07115018461934
26,P1,Decreasing 3 to 2,nan,-0.06312546104182996,9,0.539022164038075,0.11711106750959309,112.0,96.12547671725699,124.72166755724629,28.596190839989305
26,N1,Decreasing 3 to 2,168.95806735732683,-4.135201471879305,9,0.36978713979781686,11.182653550743407,172.0,147.08823926444202,195.7151909589868,48.62695169454477
