analysis_id,component,condition,n_subjects,peak_latency_ms,window_start_ms,window_end_ms,fwhm_ms,mean_amplitude_roi,latency_frac_area_ms,roi_channels
32_23_22_33,P1,Increasing 2 to 3,5,112.0,96.12547671725699,124.72166755724629,28.596190839989305,1.0300275848420402,109.3775030965402,E71;E75;E76;E70;E83;E74;E81;E82
32_23_22_33,P1,Decreasing 3 to 2,3,112.0,96.12547671725699,124.72166755724629,28.596190839989305,-0.5199301012266394,112.0,E71;E75;E76;E70;E83;E74;E81;E82
32_23_22_33,P1,Cardinality3,4,112.0,96.12547671725699,124.72166755724629,28.596190839989305,-0.11835466552957774,112.0,E71;E75;E76;E70;E83;E74;E81;E82
32_23_22_33,P1,Cardinality2,4,112.0,96.12547671725699,124.72166755724629,28.596190839989305,0.40923758550223827,119.85648257204345,E71;E75;E76;E70;E83;E74;E81;E82
32_23_22_33,N1,Increasing 2 to 3,5,172.0,147.08823926444202,195.7151909589868,48.62695169454477,-3.341306420438683,168.36517539491192,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
32_23_22_33,N1,Decreasing 3 to 2,3,172.0,147.08823926444202,195.7151909589868,48.62695169454477,-1.9768116958732824,175.04908917438752,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
32_23_22_33,N1,Cardinality3,4,172.0,147.08823926444202,195.7151909589868,48.62695169454477,-3.6406974468364868,168.69637090946512,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
32_23_22_33,N1,Cardinality2,4,172.0,147.08823926444202,195.7151909589868,48.62695169454477,-1.824311117900735,175.23424686899534,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
32_23_22_33,P3b,Increasing 2 to 3,5,456.0,435.8291553585233,477.9003055431426,42.07115018461934,1.5260186100777622,457.09007275268266,E54;E55;E61;E78;E79;E62;E72;E55;E77;E67
32_23_22_33,P3b,Decreasing 3 to 2,3,456.0,435.8291553585233,477.9003055431426,42.07115018461934,2.5727198264430484,458.2758759085975,E54;E55;E61;E78;E79;E62;E72;E55;E77;E67
32_23_22_33,P3b,Cardinality3,4,456.0,435.8291553585233,477.9003055431426,42.07115018461934,0.12033711961915561,442.52398009881955,E54;E55;E61;E78;E79;E62;E72;E55;E77;E67
32_23_22_33,P3b,Cardinality2,4,456.0,435.8291553585233,477.9003055431426,42.07115018461934,1.009651824151218,459.3063817924582,E54;E55;E61;E78;E79;E62;E72;E55;E77;E67
