Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher
condition,328.7173599692477,5,65.74347199384954,0.8842101593842117,0.49569423527644607,0.4521082818911102,0.01950942863768788,0.5713530057997814,False,0.09409997520498756,0.002898648598661659
Error,5948.221363087265,80,74.35276703859081,,,,,,,,
