Source,SS,DF,MS,F,p-unc,ng2,eps
condition,101.06666666666703,3,33.68888888888901,0.34756976287174235,0.7910682518435895,0.013596412556053861,0.9368123355478621
Error,4070.933333333334,42,96.92698412698414,,,,
