condition,count,mean,std,min,25%,50%,75%,max,sem
Cardinality (no change),14.0,2.745379784302725,1.6636532454892843,0.8979826431488968,1.7477445033708277,1.88609709380174,3.180154828247634,5.953611422829757,0.4446300325011015
Decrease by 1 (Correct),19.0,5.156993514649503,2.450930769214249,1.3110351840865164,3.481144762552322,4.585209246567881,7.172892148495083,9.870415234995424,0.5622820810852274
Decrease by 1 (Incorrect),10.0,4.565991066912128,3.059287528496953,1.136818974934514,1.9115634157801327,4.295680003141088,6.3077567328134165,10.563480194079249,0.9674316607397648
Decrease by 2 (Correct),19.0,4.924111381652936,2.0364456020661246,1.6867248097693612,3.3258494637198552,4.763402145259385,6.316651285263243,8.684905237926909,0.467192662285478
Decrease by 2 (Incorrect),11.0,8.154550575685903,5.713998820353119,2.461255606395084,3.886673258139232,6.930906625012088,9.61297615293699,20.389017477830716,1.7228354672404238
Decrease by 3 (Correct),19.0,5.5355828627188215,2.9095156528759274,0.719930237605395,3.4553125380647183,4.6238684921462445,6.966858186568919,12.384632989294404,0.6674886687124175
Decrease by 3 (Incorrect),5.0,5.466597747233253,3.9273736789502545,2.1583913750799426,2.3716316213175097,3.4936913317087,8.605279632148166,10.703994775911944,1.7563749038352408
Increase by 1 (Correct),17.0,4.646297135215508,2.6178220034322237,1.4079002194433932,2.623065327003181,3.2239164548609938,6.6585054612753805,10.194875096766202,0.6349150958362997
Increase by 1 (Incorrect),9.0,3.848949678416914,3.162319947431021,1.1642788980621108,1.7522354154985067,1.851107294924184,6.217124520468662,9.879374235460531,1.0541066491436737
Increase by 2 (Correct),18.0,5.4203286056202735,2.7048899458229423,1.3053842216905234,3.597981256369201,4.871711564475461,7.455405158737458,10.548437227738374,0.6375486743515719
Increase by 2 (Incorrect),12.0,6.095379246603209,3.1206446019369856,2.585476071483336,3.266946453239764,5.512549104695953,8.355133609385135,10.8895545779079,0.9008525004867355
Increase by 3 (Correct),21.0,4.41119625911263,2.5993059051587286,1.2538976341025418,2.58630729098041,3.907745250556271,6.334898301853251,10.146411878887168,0.5672150507016943
Increase by 3 (Incorrect),13.0,5.869317804543524,2.741573824175254,2.4747154415601327,4.179614734352837,5.173227655512298,6.479322178455584,12.492244129128562,0.7603757691179828
