condition,count,mean,std,min,25%,50%,75%,max,sem
Cardinality (no change),24.0,-4.61813517583062,2.1387228095220747,-9.57338948176472,-5.691730889457734,-4.236386419129445,-3.31506546209579,-0.6004052860745142,0.43656496538172856
Decrease by 1 (Correct),24.0,-4.864934963764816,2.070298669882616,-9.90491169343534,-5.875859393579873,-4.820433884535783,-3.433191395592477,-1.2298829330450345,0.4225979463645937
Decrease by 1 (Incorrect),24.0,-5.152850414455108,2.570725649413839,-13.511940287736394,-6.0745976629901195,-4.6952517752824745,-3.8247400823879287,-1.2345938364969582,0.524747175812402
Decrease by 2 (Correct),24.0,-5.121376050701899,2.112665203699905,-9.59439443372487,-6.073542789479966,-4.978975685097713,-3.69887657717358,-1.5266395470413532,0.4312459788664877
Decrease by 2 (Incorrect),20.0,-4.837498508722882,2.9301844607216734,-10.772905116902638,-6.883614528095736,-5.04727477447789,-2.450427460575524,0.0816604089882751,0.6552091640787225
Decrease by 3 (Correct),24.0,-5.2196564042678295,1.966634708568255,-8.6020729891301,-6.7556051342464345,-5.392510487952554,-3.464143930300856,-1.4754728252898603,0.4014376288699437
Decrease by 3 (Incorrect),14.0,-6.046500988489408,5.007367945811012,-16.589848679289407,-6.1601587676827165,-4.8702417657103885,-3.840996312416796,-0.4521202997845795,1.3382753759099162
Increase by 1 (Correct),24.0,-5.069493116386295,2.1315240984706887,-9.464914228272264,-6.534217533692667,-5.191527401175586,-4.157495507069842,-0.5630164589383168,0.4350955346415927
Increase by 1 (Incorrect),24.0,-5.4889887841936185,2.6715430123602415,-9.81842587961907,-7.280283833628617,-5.424277809795358,-3.9923668494811757,-0.3445272813948619,0.5453264338483736
Increase by 2 (Correct),24.0,-5.466240783112524,2.431955635205987,-11.276764908925202,-6.48369571884089,-4.837961282690122,-4.118840472150606,-1.2212220111918013,0.496420865278401
Increase by 2 (Incorrect),20.0,-5.581260811875485,2.6831279348988395,-11.010461633026065,-7.282550301160625,-5.3064050394441225,-4.22549391047649,-0.6804596520213566,0.5999656454762434
Increase by 3 (Correct),24.0,-6.160603372441851,2.5528307870798517,-12.85510194308798,-7.139409449007719,-5.87375081308535,-4.632344135472004,-2.056098059667614,0.5210944023344337
Increase by 3 (Incorrect),21.0,-6.4731649071256765,3.2573115092067035,-13.49873108493094,-7.924049337418066,-6.492509669922505,-4.049630439731359,-1.4803412760437842,0.7108036453805031
