condition,count,mean,std,min,25%,50%,75%,max,sem
Cardinality (no change),24.0,-1.2197104578074034,1.377829575157327,-4.829525362126649,-2.0180177606153515,-0.7955146872642764,-0.21644024381749552,0.552439405798367,0.2812482843042647
Decrease by 1 (Correct),24.0,-0.9299012768870233,1.4241639899093328,-4.557464702801044,-1.908776794611763,-0.6722824471169204,-0.2509399459196825,1.5564379717291978,0.29070625711033976
Decrease by 1 (Incorrect),24.0,-0.9619708819614319,2.548113035388095,-8.15729506349936,-2.1594695385852103,-0.7505648739231656,0.6620441467549222,3.1557827155850515,0.5201313953029373
Decrease by 2 (Correct),24.0,-1.4003052816358144,1.2307817436299617,-4.301290484376712,-1.7682609353606438,-1.3701732506875768,-0.8616193168198415,2.016985028009138,0.25123227138553217
Decrease by 2 (Incorrect),20.0,-1.7983559660728932,3.2190639151332037,-8.847368700260503,-3.4311661599372254,-1.58000714438824,0.2255243927893582,2.664226794748411,0.7198045738154457
Decrease by 3 (Correct),24.0,-1.7234234600128355,1.9125511188990891,-6.3878464600130425,-2.636141328598849,-1.4012484752766774,-0.8934209036298238,1.692152808138402,0.3903978623576508
Decrease by 3 (Incorrect),14.0,-2.753063231521094,5.952531045856744,-15.26863511563278,-6.031817526483566,-2.449825911342832,0.27764497761421536,7.498471027454181,1.5908808398379357
Increase by 1 (Correct),24.0,-1.1126912248535434,1.2900902414876732,-3.740568574590821,-1.8363864767529754,-1.0092323127857186,-0.4283093988705799,1.09486618628877,0.26333856781572734
Increase by 1 (Incorrect),24.0,-1.370919329128338,1.5272237133167217,-4.538038377366269,-2.10829169454417,-1.1770431872697682,-0.24546232020907685,0.7200448088754986,0.3117432350587122
Increase by 2 (Correct),24.0,-0.9872003470215086,1.2255604749253768,-4.171886942862197,-1.8167863647482139,-0.6273398715711263,-0.19613263693837757,0.5176795189939101,0.25016648437418254
Increase by 2 (Incorrect),20.0,-0.7643481275927604,2.2803483210761026,-4.905907729330228,-2.291895085484653,-1.1348666680569173,0.31707748929469864,3.233974368305052,0.5099013858303681
Increase by 3 (Correct),24.0,-1.1094886798226502,1.226050690974158,-3.345597127389105,-2.1050218019633706,-0.8078537806556346,-0.42572521161043286,1.1231633983550706,0.25026654930611897
Increase by 3 (Incorrect),21.0,-1.3516198851361523,4.1661406132787135,-8.800504480460013,-3.624133998062199,-1.265606637547963,0.6833249197703739,9.521775955196215,0.9091264150561643
