condition,count,mean,std,min,25%,50%,75%,max,sem
Cardinality (no change),24.0,106.0,10.550087574332592,92.0,92.0,108.0,116.0,116.0,2.1535276082326615
Decrease by 1 (Correct),24.0,108.5,9.677405329583104,92.0,102.0,114.0,116.0,116.0,1.9753920909640887
Decrease by 1 (Incorrect),24.0,103.0,9.306379298748462,92.0,92.0,104.0,109.0,116.0,1.8996567195611727
Decrease by 2 (Correct),24.0,109.5,8.32492329250468,92.0,104.0,114.0,116.0,116.0,1.6993178512039144
Decrease by 2 (Incorrect),20.0,109.2,8.715382650052842,92.0,103.0,114.0,116.0,116.0,1.948818805544043
Decrease by 3 (Correct),24.0,107.33333333333333,9.034555241172479,92.0,103.0,112.0,116.0,116.0,1.8441708661549991
Decrease by 3 (Incorrect),14.0,105.71428571428571,10.010982979696859,92.0,96.0,110.0,115.0,116.0,2.6755477439179245
Increase by 1 (Correct),24.0,103.66666666666667,9.503622497748433,92.0,92.0,104.0,110.0,116.0,1.9399188189598517
Increase by 1 (Incorrect),24.0,101.33333333333333,10.327955589886445,92.0,92.0,96.0,113.0,116.0,2.108185106778919
Increase by 2 (Correct),24.0,103.0,9.600724610334277,92.0,92.0,104.0,112.0,116.0,1.9597397046916532
Increase by 2 (Incorrect),20.0,102.4,9.483503682988854,92.0,92.0,102.0,109.0,116.0,2.1205758900032685
Increase by 3 (Correct),24.0,100.5,9.311050003834854,92.0,92.0,98.0,108.0,116.0,1.900610123244562
Increase by 3 (Incorrect),21.0,102.85714285714286,10.05129700230629,92.0,92.0,100.0,112.0,116.0,2.1933728259786336
