condition,count,mean,std,min,25%,50%,75%,max,sem
1 to 4,24.0,1.966052470573932,1.8169142098565192,-0.8875340723427892,0.9827707480845402,1.5374111014253877,2.6658773221766854,6.366217372038127,0.37087606004671225
2 to 5,24.0,1.8036967790238265,2.55580760527987,-1.925913575118216,0.5333477498724057,1.5077416901303344,2.525809818551422,10.46918122283794,0.5217020428050232
3 to 6,24.0,1.7380559975269776,2.5148973958932275,-2.1347497167908736,-0.08487597679388734,1.2578744857423434,3.37018203248834,8.133320733807595,0.5133512812827155
