Source,SS,DF,MS,F,p-unc,ng2,eps
condition,7.981299435090705,2,3.9906497175453524,1.975668364757766,0.1519700698107517,0.028286692662948875,0.9031244857293956
Error,80.79594305868517,40,2.019898576467129,,,,
