Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher
condition,32.64831343157554,5,6.529662686315108,1.355653683293207,0.27431115803509243,0.3017275117139134,0.1038582341697559,0.37868350524672395,False,8.360601392211579e-05,0.028961814142089738
Error,120.41539013217957,25,4.816615605287183,,,,,,,,
