Source,SS,DF,MS,F,p-unc,ng2,eps
condition,4.471531133069235,2,2.2357655665346177,7.9023713947654235,0.005045434839578736,0.09935039690882796,0.7911920348232194
Error,3.960927216381961,14,0.28292337259871153,,,,
