condition,count,mean,std,min,25%,50%,75%,max,sem
Decrease by 1,24.0,1.2207961447532172,1.9436451952796046,-1.2633200673536291,-0.15874716617026857,0.6637924382584068,2.1655298758144585,5.6718823435046986,0.3967449141205998
Decrease by 2,24.0,1.6944442622881881,1.8024272162982928,-2.31909134073584,0.4834165454704188,1.699797437282772,2.872668974754847,5.736549226275406,0.3679189148696587
Decrease by 3,24.0,2.106860695335788,2.1522962625138984,-1.351893770262221,1.0670898969801614,1.9164398648017809,2.948823648338738,8.154269462295735,0.43933563487153043
