condition,count,mean,std,min,25%,50%,75%,max,sem
2 to 1,24.0,114.66666666666667,7.883205409998644,96.0,111.0,120.0,120.0,120.0,1.6091525660037118
3 to 2,24.0,108.66666666666667,10.192352916329698,96.0,96.0,108.0,120.0,120.0,2.080505326947984
4 to 3,24.0,107.66666666666667,9.93310961716756,96.0,99.0,106.0,120.0,120.0,2.027587510099407
5 to 4,24.0,109.66666666666667,10.610358624708569,96.0,96.0,114.0,120.0,120.0,2.165830384872888
6 to 5,24.0,104.66666666666667,9.187262764362913,96.0,96.0,102.0,112.0,120.0,1.8753421587967316
