Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher
condition,45.99748710181615,3,15.332495700605383,0.49456867401302573,0.6887725567658101,0.5403059616307992,0.020817619814167795,0.42816746900530106,False,0.06157365722978661,0.00021152290693386526
Error,930.0525795251781,30,31.00175265083927,,,,,,,,
