condition,count,mean,std,min,25%,50%,75%,max,sem
Decrease by 2 (Correct),24.0,115.16666666666667,9.058585486404198,104.0,107.0,116.0,124.0,128.0,1.8490760194226374
Decrease by 2 (Incorrect),20.0,115.4,9.383075469330825,104.0,107.0,116.0,125.0,128.0,2.098119458743447
