Source,SS,DF,MS,F,p-unc,ng2,eps
condition,338.20743608496355,1,338.20743608496355,4.312302826655172,0.06456417090856326,0.20796042998131403,1.0
Error,784.2849857260451,10,78.42849857260451,,,,
