Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher
condition,6678.0,3,2226.0,1.2159697262377884,0.310502982888107,0.3071235303119869,0.03229050819592863,0.7158739687579476,False,0.5278077735279724,0.016493201305365846
Error,126314.0,69,1830.6376811594203,,,,,,,,
